Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Enhancing Intelligent Control Strategies for UAVs: A Comparative Analysis of Fuzzy Logic, Fuzzy PID, and GA-Optimized Fuzzy PID Controllers","The Genetic Algorithm-optimized Fuzzy PID controller (GAFPID) offers superior precision, adaptability, and robustness for quadrotor systems compared to Fuzzy Logic and FPID controllers.","Nigatu Wanore Madebo",2025,21,"This paper presents advanced control strategies to enhance the stability and trajectory tracking performance of quadrotor systems. The study investigates three control methodologies: the Fuzzy Logic Controller (Fuzzy), the Fuzzy Proportional-Integral-Derivative (FPID) controller, and the Genetic Algorithm (GA)-optimized Fuzzy PID controller (GAFPID). The Fuzzy controller leverages heuristic rules for adaptive control, while the FPID controller integrates conventional PID dynamics with fuzzy logic to improve precision and robustness. The GAFPID controller employs evolutionary computation through a genetic algorithm to optimize parameter tuning, offering superior control performance. Comparative simulations are conducted under diverse operating conditions, including external disturbances and parameter variation scenarios, with performance evaluated using the Integral of Time-weighted Absolute Error (ITAE) metric. Results demonstrate that the GAFPID controller outperforms the other approaches in terms of precision, adaptability, and robustness, establishing it as a promising solution for complex quadrotor applications.","","IEEE Access","1","10.1109/access.2025.3532743","https://consensus.app/papers/enhancing-intelligent-control-strategies-for-uavs-a-madebo/9ac2539d9fee5b7c89986cae2b4bef65/"
"A technical review on navigation systems of agricultural autonomous off-road vehicles","Autonomous farm vehicles can achieve centimeter-level accuracy in precision agriculture, but more work is needed to gain farmer's consensus and address safety, economy, and standardization concerns.","H. Mousazadeh",2013,189,"","literature review","Journal of Terramechanics","1","10.1016/j.jterra.2013.03.004","https://consensus.app/papers/a-technical-review-on-navigation-systems-of-agricultural-mousazadeh/9abd3b2d402753f484101f2abbbbe58f/"
"Position Control System On Autonomous Vehicle Movement Using Fuzzy Logic Methods","The Sugeno fuzzy logic method effectively controls autonomous vehicle position and movement, reducing heading error and ensuring safe driving.","Bhakti Yudho, Diah Rahmah Suprapto, Muhammad Dini, Naufal Ghiffari, Patrick Iskandar, Kusuma Wijaya, Suci Rendyansyah, Dwijayanti",2022,1,"An autonomous vehicle is designed to be driven automatically without a crew controlling it. The autonomous vehicle can ease the people in driving. Thus, a control system is important to ensure the autonomous electric vehicle run properly. Various control systems can be implemented on the autonomous vehicle. However, the previous studies have shown that the inaccuracy and inconsistency may still occur. Thus, this study presents the combination of compass and fuzzy logic to control the position of the autonomous vehicle. The Sugeno fuzzy logic method is used to control the position of the movement of autonomous vehicle by considering several inputs, such as the direction to the destination, the position of the destination, and the distance to the intended target. Meanwhile, the rotational speed of the motor becomes the output. In this study, the autonomous vehicle was run in Universitas Sriwijaya located in two locations, namely at Palembang Campus, and Indralaya Campus. The results show that the autonomous vehicle was able to reach the destination position with the motor speed output on the autonomous electric vehicle which was read according to the fuzzy. This study shows that fuzzy rule for 5 memberships function has the lowest heading error of 6.8 degrees compared to 3 memberships function. Nevertheless, 3 memberships function has the shortest time to reach the destination. The results of this study indicate that the control system using the fuzzy logic method works well.","","2022 5th International Seminar on Research of Information Technology and Intelligent Systems (ISRITI)","","10.1109/isriti56927.2022.10052888","https://consensus.app/papers/position-control-system-on-autonomous-vehicle-movement-yudho-suprapto/554388638fd05d06b139f25cb5b3a4d9/"
"Fuzzy Logic-Based Control for Autonomous Vehicle: A Survey","Fuzzy logic-based control simplifies and smoothens collision avoidance in autonomous vehicles, improving their overall performance.","I. Emmanuel",2017,21,"Fuzzy set, since its advent has played an important role in control systems and many other area of applications. One of such area is the control of autonomous vehicle. There seem to be some difficulty however, for a new timer trying to get a clear picture of the autonomous navigation problem. To this end, this survey presents a panoramic view of the Intelligent Transportation Systems with some few example of the Advance Driver Assistance Systems and a good discussion on the autonomous systems with its eminent problems. More attention was focused on the fuzzy controllers designed for collision avoidance; as its performance has largely simplified and smoothens the collision avoidance process of an autonomous vehicular system.","","International Journal of Education and Management Engineering","","10.5815/ijeme.2017.02.05","https://consensus.app/papers/fuzzy-logicbased-control-for-autonomous-vehicle-a-survey-emmanuel/3f92622b32e1527b8c22af817ee00bf0/"
"Lateral control of autonomous vehicles based on fuzzy logic","This paper proposes a fuzzy logic-based method for designing lateral control laws and determining driving speeds in autonomous vehicles, reducing noise in reference path data and improving performance on both simple and complex reference paths.","Xinyu Wang, M. Fu, Yi Yang, Hongbin Ma",2013,134,"","","2013 25th Chinese Control and Decision Conference (CCDC)","","10.1016/j.conengprac.2014.09.015","https://consensus.app/papers/lateral-control-of-autonomous-vehicles-based-on-fuzzy-wang-fu/1864d9d17b995bc38957e3ae1451bb2e/"
"Intelligent path programming approach for autonomous ecological vehicles based on fuzzy logic control","Fuzzy logic-based intelligent controllers are reliable and simple to implement for autonomous vehicle driving and green agriculture tasks.","Biyogo Nchama Vicente Angel Obama, H. Akram, Ye Yukun, H. Haoyu, Shuang Zhao, Shi Peng",2025,0,"This paper proposes an intelligent path-planning approach for autonomous vehicle driving based on fuzzy control. Compared to the traditional control method, this approach is applied directly to the nonlinear system, additionally, this approach is simple to implement compared to the modern adaptive and predictive nonlinear controllers. This research finding aims to be compatible with the existing global satellite positioning systems and the emerging green ecological technologies, equipping the vehicle with reliable technology to track target trajectories autonomously and accomplish multiple tasks in autonomous driving and green agriculture. The paper focuses on ground vehicles’ nonlinear dynamics control and analysis in different topological scenarios. The simulation results prove the reliability of using the fuzzy logic-based intelligent controller to train the system to track the desired trajectory and orientation autonomously, providing a great reference for designing an intelligent multi-use vehicle and a valuable reference for nonlinear system control.","","Journal of Physics: Conference Series","","10.1088/1742-6596/3041/1/012031","https://consensus.app/papers/intelligent-path-programming-approach-for-autonomous-obama-akram/95c8dc21d86455ae80eebbd6ab73134e/"
"PDCA-Guided Development of Fuzzy Logic Controller for Autonomous Vehicle Cruise Control and Collision Avoidance","Fuzzy logic can effectively control autonomous vehicles through simple, low-cost controllers, enabling cruise control and collision avoidance.","César Tadeu Nasser Medeiros Branco, Rafael D. C. Santos",2024,1,"The advancement of the automotive industry towards automation has fostered a growing integration between this field and automation. Future projects aim for the complete automation of the act of driving, enabling the vehicle to operate independently after the driver inputs the desired destination. In this context, the use of simulation systems becomes essential for the development and testing of control systems. This work proposes the control of an autonomous vehicle through fuzzy logic. Fuzzy logic allows for the development of sophisticated control systems in simple, easily maintainable, and low-cost controllers, proving particularly useful when the mathematical model is subject to uncertainties. To achieve this goal, the PDCA method was adopted to guide the stages of defining the problem, implementation, and evaluation of the proposed model. The code implementation was done in Python and validated using different looping scenarios. Three linguistic variables were used, one with three fuzzy sets. As a result, nine rules were implemented in order to evaluate the vehicle’s response. An iterative loop was proposed to model different acceleration, deceleration or speed maintenance scenarios. The implementation of a system controlled by fuzzy logic was performed using the Python programming language. The simulations validated the speed adjustment, proving to be efficient for applications in autonomous vehicles as a simple and low computational cost approach.","","SAE Technical Paper Series","3","10.4271/2024-36-0188","https://consensus.app/papers/pdcaguided-development-of-fuzzy-logic-controller-for-branco-santos/f7e30db51efa5707929e177957e63488/"
"Development of a hybrid crisp-fuzzy logic algorithm optimised by genetic algorithms for path-planning of an autonomous mobile robot","The hybrid crisp-fuzzy logic algorithm, combined with genetic algorithms, effectively navigates autonomous mobile robots in unknown environments, enabling human-like decision-making and obstacle avoidance.","C. Fayad, Phil Webb",2017,14,"This paper deals with the problem of autonomous mobile robot navigating in unknown environments. The approach developed is reactive in a behaviour-based framework aimed at multiple obstacle avoidance. We use a novel hybrid logic integrating fuzzy and crisp to enable the robot with a human like decision-making ability and avoid failure when world set-ups mismatch with the fuzzy system designer expectancies. Finally, a genetic algorithm is used as means of optimised search within the space of the fuzzy parameters of the hybrid system.","","Journal of Intelligent and Fuzzy Systems","2","10.18374/jifs-17-1.2","https://consensus.app/papers/development-of-a-hybrid-crispfuzzy-logic-algorithm-fayad-webb/56f3ecd6270e5801a2b2e4e1a3109938/"
"Risk estimation for self-driving simulation using fuzzy logic and genetic algorithm","Fuzzy logic and genetic algorithms can effectively simulate human-like driving in self-driving simulations by estimating the risk levels of obstacles based on distance from drivers and priority of avoidance.","T. Kurosaka, T. Gonsalves",2018,0,"Recent years, self-driving technology attracts people’s attention. On self-driving, the most important thing is safety. In order to keep driving safe, driver needs to dodge obstacles on a road safely. So computer should control the car properly. This study focus on avoidance based on “human sense”. People preferentially avoid children or elderly people. So human have some priority of obstacle to dodge. But it’s very ambiguous information. “Fuzzy logic” is mathematical logic that can deal with vague information. This logic is a useful to let computer reproduce human sense. To reproduce more faithfully, I used Genetic Algorithm on optimizing the shape of graph of Fuzzy logic’s function. Using these method, I made risk calculator. The calculator can give us the risk level (0~10) of each obstacles from two materials: “distance from drivers” and “priority of avoidance”. Then, I tried “vision-based self-driving simulation” on 3D environment using the calculator. By controlling the car based on that risk level, computer can drive a car more humanly. It turns out that Fuzzy logic and GA are good tool to simulate human-like driving.","","","","10.1117/12.2514031","https://consensus.app/papers/risk-estimation-for-selfdriving-simulation-using-fuzzy-kurosaka-gonsalves/9e243e4a66635586ab82cc2c76fa589a/"
"Hybrid fuzzy-based sliding-mode control approach, optimized by genetic algorithm for quadrotor unmanned aerial vehicles","The hybrid fuzzy-based sliding-mode control approach, optimized by a genetic algorithm, effectively ensures system stability in quadrotor unmanned aerial vehicles.","M. Pazooki, A. H. Mazinan",2017,35,"According to the diverse applications of quadrotors in various military and space industries, this study attempts to focus on the modeling and simulation of a particular type of such robots, entitled unmanned aerial vehicles. The quadrotors are the vertical flying robots that contain four engines with impeller and it is possible to control this flyer with respect to the transitional force on these impellers. In fact, the quadrotors are the flyers with four propellers in a crisscross structure. These propellers allow the possibility of various movements to the quadrotors in such a way that control signals are applied to its operators and the difference in rotor speeds leads to the generation of different forces and movements. Such systems are dynamically unstable. Due to the nonlinear nature of quadrotor systems, modeling uncertainties and unmodeled dynamics in these systems, the need to design a suitable controller for optimal performance in different working conditions is strongly felt. In this paper, research on the modeling of unmanned flying robots in recent years is firstly reviewed and a mathematical model has been proposed for quadrotor robots with 6 degrees of freedom on the basis of the popular Newton–Euler equations. In the following, the capability of hybrid fuzzy-based sliding-mode control approach has been used to ensure the system stability. In addition, the genetic algorithm has been added to the control structure in order to optimize the proposed control system to meet the requirement of realizing fuzzy-based control approach. The results of the simulations in Matlab software clearly demonstrate that the state variables of the quadrotor robot reach a certain situation and place at the right time, once the nominal inputs are considered.","","Complex & Intelligent Systems","","10.1007/s40747-017-0051-y","https://consensus.app/papers/hybrid-fuzzybased-slidingmode-control-approach-pazooki-mazinan/efa55d7888c2510a86690bf70a3b1da2/"
"A fuzzy-genetic based embedded-agent approach to learning and control in agricultural autonomous vehicles","The fuzzy-genetic based autonomous robot effectively navigates agricultural tasks under various conditions, achieving rapid convergence without simulation.","H. Hagras, V. Callaghan, M. Colley, M. Carr-West",1999,38,"This paper describes the design of a fuzzy controlled autonomous robot, incorporating genetic algorithms (GA) based rule learning, for use in an outdoor agricultural environment for path and edge following activities which involve spraying insecticide, distributing fertilisers, ploughing, harvesting, etc. The robot has to navigate under different ground and weather conditions. This paper addresses the development of an online self-learning system based on modified version of the fuzzy classifier system. The proposed technique has resulted in rapid convergence suitable for learning individual behaviours online without the need for simulation. The controller was tested on both an in-door and out-door mobile robot operating with different types of sensors, propulsion and steering. Experiments include operating the vehicle following irregular crop edges under different weather and ground conditions within a tolerance in the order of 2 inches.","","Proceedings 1999 IEEE International Conference on Robotics and Automation (Cat. No.99CH36288C)","","10.1109/robot.1999.772444","https://consensus.app/papers/a-fuzzygenetic-based-embeddedagent-approach-to-learning-hagras-callaghan/e149f75ab17d5777ad154fbd45a99eb8/"
"Automatic lateral control for unmanned vehicles via genetic algorithms","This paper presents a method to adjust a fuzzy controller automatically for unmanned steering wheel management in mass-produced vehicles, using information from a human driver's handling to improve driving performance and smoothness.","E. Onieva, J. Naranjo, V. M. Montero, J. Alonso, Ricardo García, Joshué Pérez",2010,94,"","","Appl. Soft Comput.","1","10.1016/j.asoc.2010.04.003","https://consensus.app/papers/automatic-lateral-control-for-unmanned-vehicles-via-onieva-naranjo/6ce047747202557d8d8045eab156bdff/"
"HEADING CONTROL OF AUTOMATED GUIDED VEHICLES","Fuzzy logic based PID control and LIDAR and camera based technologies improve Automated Guided Vehicles (AGVs) productivity and reduce conflicts compared to conventional methods.","A. Bhardwaj, Kshitij Anand, Murtaza Khasamwala",2021,0,"With rapid developments in industry wide
automation control systems, there have been numerous
proposed design and control strategies as alternatives to
conventional methods. This term paper deals with the same
in the context of Automated Guided Vehicles (AGV’s) with
a review of the current literature for proposed design
improvements as well as trajectory control systems that can
improve productivity and reduce conflicts compared to
current methods. The results of these proposed methods are
also compared in contrast to each other to obtain holistic
view of the merits and demerits of the same. It is found that
a fuzzy logic based PID control is a definite upgrade over
conventional PID control systems and that the application of
LIDAR and Camera based technologies can help enable free
roaming AGV’s lending to increased robustness and
flexibility. For a control system consisting of a single AGV
and multiple processing stations, a genetic algorithm
enhanced centralized fuzzy logic control system is the most
optimal path planning algorithm whereas in the cases of
multiple robots, a dynamic priority allocated free roaming
AGVsystem with semi-decentralized control is found to be
much more efficient at simultaneously solving paths and
reducingconflicts with other robots in real time compared to
the purely centralized systems.
","literature review","International Journal of Engineering Applied Sciences and Technology","","10.33564/ijeast.2021.v06i03.028","https://consensus.app/papers/heading-control-of-automated-guided-vehicles-bhardwaj-anand/a4f9dad091f55458808c9ac34617072a/"
"Adaptive Fuzzy Logic Controllers Using Hybrid Genetic Algorithms","The hybrid genetic algorithms-based adaptive fuzzy logic controller design method improves the accuracy of fuzzy logic controllers, outperforming passive control strategies, human-designed controllers, and neural-fuzzy control algorithms.","P. C. Shill, A. Paul, K. Murase",2019,3,"In this paper, an integration of fuzzy logic controllers (FLCs) with hybrid genetic algorithms (HGAs) is developed with a view to make the design process fully automatic, without requiring any human expert and numerical data. Our approach consists of two phases: first phase involves selection and definition of fuzzy control rules as well as adjustment of membership functions parameters, while the second phase performs an optimal selection of membership function types corresponding to fuzzy control rules. Learning both parts concurrently represents a way to improve the accuracy of the FLCs to minimize the errors. It has been argued that the performance of FLCs greatly depends on the parameters as well as types of membership functions. Thus, the aforementioned HGAs are a viable solution for designing an efficient adaptive FLCs system. To demonstrate the effectiveness of the proposed method for optimal design of the FLCs, the proposed approach is applied to a well-known benchmark controller design tasks, car and truck-and-trailer like robot system. Simulation results illustrates that proposed optimization approach can find optimal fuzzy rules and their corresponding membership functions types with a high rate of accuracy. The new HGAs optimized adaptive FLCs outperforms not only a passive control strategy but also human-designed FLCs, a neural coded controller with clustering and a neural-fuzzy control algorithm.","","Int. J. Uncertain. Fuzziness Knowl. Based Syst.","","10.1142/s021848851950003x","https://consensus.app/papers/adaptive-fuzzy-logic-controllers-using-hybrid-genetic-shill-paul/dfc8942584f450efa91a04922ab3fe54/"
"Comparative study of soft computing techniques for mobile robot navigation in an unknown environment","Hybrid fuzzy logic controls with soft computing techniques, specifically GA-Fuzzy and PSO-Fuzzy, are most efficient for mobile robot navigation in an unstructured environment.","Mohammed Algabri, H. Mathkour, R. Hedjar, M. Alsulaiman",2015,93,"","","Comput. Hum. Behav.","1","10.1016/j.chb.2015.03.062","https://consensus.app/papers/comparative-study-of-soft-computing-techniques-for-mobile-algabri-mathkour/9c81275157285d148e2473870f9ab3d5/"
"Towards Agrobots: Trajectory Control of an Autonomous Tractor Using Type-2 Fuzzy Logic Controllers","The proposed control algorithm effectively learns the interactions between subsystems in an autonomous tractor, ensuring optimal yield while reducing operator workload.","Erdal Kayacan, E. Kayacan, H. Ramon, O. Kaynak, W. Saeys",2015,96,"Provision of some autonomous functions to an agricultural vehicle would lighten the job of the operator but in doing so, the accuracy should not be lost to still obtain an optimal yield. Autonomous navigation of an agricultural vehicle involves the control of different dynamic subsystems, such as the yaw angle dynamics and the longitudinal speed dynamics. In this study, a proportional-integral-derivative controller is used to control the longitudinal velocity of the tractor. For the control of the yaw angle dynamics, a proportional-derivative controller works in parallel with a type-2 fuzzy neural network. In such an arrangement, the former ensures the stability of the related subsystem, while the latter learns the system dynamics and becomes the leading controller. In this way, instead of modeling the interactions between the subsystems prior to the design of a model-based control, we develop a control algorithm which learns the interactions online from the measured feedback error. In addition to the control of the stated subsystems, a kinematic controller is needed to correct the errors in both the x- and the y- axis for the trajectory tracking problem of the tractor. To demonstrate the real-time abilities of the proposed control scheme, an autonomous tractor is equipped with the use of reasonably priced sensors and actuators. Experimental results show the efficacy and the efficiency of the proposed learning algorithm.","","IEEE/ASME Transactions on Mechatronics","1","10.1109/tmech.2013.2291874.","https://consensus.app/papers/towards-agrobots-trajectory-control-of-an-autonomous-kayacan-kayacan/5b811aac0c7c5796a9dd4c175bd0ddaf/"
"Advancing Autonomous Vehicle Navigation through Hybrid Fuzzy-Neural Network Training Systems","A hybrid training approach combining fuzzy logic and back-propagation learning algorithms significantly improves autonomous vehicle navigation accuracy in real-time scenarios under hardware constraints.","Ammar Alzaydi, Kahtan Abedalrhman, Ibrahim Alotaibi, Fahad Alessa",2024,4,"In the evolving realm of autonomous vehicle navigation, the integration of fuzzy logic and neural networks presents a formidable challenge, particularly in the context of real-time, on-the-fly neural network training. This paper addresses the gap in dynamic and adaptable training methods necessary for navigating unpredictable environments with limited computational resources. The primary objective of our study is to empirically validate a hybrid training approach that combines fuzzy logic with back-propagation learning algorithms, aiming to optimize neural network performance under hardware constraints. Our methodology leverages a fuzzy logic trainer to provide initial training sets dynamically, which guide the neural network in adjusting its weights in real time, thus facilitating adaptive learning during navigation tasks. The findings reveal that this integrated approach not only enhances the learning efficiency of neural networks but also significantly improves navigation accuracy in real-time scenarios. These advancements contribute to the field by demonstrating the feasibility of deploying more adaptable and robust autonomous navigation systems, potentially expanding their application in more diverse and challenging environments.","","Advances in Research","","10.9734/air/2024/v25i51164","https://consensus.app/papers/advancing-autonomous-vehicle-navigation-through-hybrid-alzaydi-abedalrhman/b82348d191ca5062b324e75b27bbf813/"
"Genetic Algorithm-based Control of a Two-Wheeled Self-Balancing Robot","Genetic algorithm-based switching control improves the performance of two-wheeled self-balancing mobile robots in various tests, demonstrating the potential of meta-heuristic algorithms for optimizing unstable systems in fast-changing environments.","Kleon Dimitrios Papadimitriou, Nikita Murasovs, M. Giannaccini, S. Aphale",2025,3,"Mobile robots are becoming increasingly popular in a wide array of applications: industrial, item delivery, search and rescue, space, social, and entertainment. A two-wheeled self-balancing mobile robot is a statically unstable non-linear system with strong coupling dynamics. Common practices in the development of control systems for such robots are either to linearise the region of application to be used with linear controllers or to use complex nonlinear controllers such as fuzzy logic, sliding mode, and neural networks. However, self-balancing robots are still restricted by the travelling distance needed to regain an upright stance, the length of settling time, high overshoot and lack of resilience to external disturbance. In this paper, we are proposing a novel genetic algorithm-based switching control to evolve more effective control parameters and increase autonomy. Differently from previous work a genetic algorithm has been used to select the parameters in a sliding mode control and a switching-algorithm-based controller of a two-wheeled self-balancing mobile robot. The performance of the proposed controllers is assessed in simulations using the CoppeliaSim environment. The tests used dynamic criteria (distance travelled, maximum angular deviation), control criteria (settling time, % overshoot). The results showed that the genetic algorithm-based control has better performance in the 55 degree recovery, impulse response and variable inclination tests and that switching algorithm-based control shows better performance in step response tests. The results produced by the evolutionary algorithm are often able to perform better than their analytic counterparts. This shows the potential of meta-heuristic algorithms to obtain solutions for optimization problems encountered by statically unstable non-linear systems in unstructured and fast-changing environments.","","Journal of Intelligent & Robotic Systems","1","10.1007/s10846-025-02236-1","https://consensus.app/papers/genetic-algorithmbased-control-of-a-twowheeled-papadimitriou-murasovs/3e4ddb2135f951fe9289f11be41bb3a0/"
"Control Strategies for Autonomous Vehicles: A Comparative Review of Classical and Intelligent Methods","This paper compares classical and intelligent control strategies for autonomous vehicles, helping researchers and system designers choose appropriate options based on constraints and objectives.","Karima Bensassi, Tarik Jarou, Jawad Abdouni, Mohamed Amkrane, Oumaima Id-Ouakrim, Mustapha Abarkan",2025,0,"In recent years, research into autonomous vehicles has really taken off thanks to increasingly powerful sensors, powerful on-board computing units, artificial intelligence, and advances in control theory. At the heart of these vehicles, the control system is essential, ensuring safety, precision, stability, and the ability to adapt to an unpredictable world where situations can change in a matter of milliseconds. Several control techniques have been developed to address the challenges associated with trajectory tracking, trajectory planning, and real-time decision-making. These strategies can be grouped into two broad categories: classical methods, such as linear quadratic regulators (LQR), proportional-integral-derivative (PID) controllers, and model predictive control (MPC), and intelligent methods, including fuzzy logic, artificial neural networks (ANN), and reinforcement learning (RL). This article provides an in-depth comparative review of conventional and intelligent approaches used for controlling autonomous vehicles. This work aims to provide researchers and system designers with a clear overview of the various control strategies available and to help them make appropriate choices based on constraints and objectives. The article concludes by identifying current trends and research prospects for designing more adaptive, robust, and reliable control systems in the field of autonomous vehicles.","","2025 International Conference on Electrical Systems & Automation (ICESA)","","10.1109/icesa66763.2025.11281170","https://consensus.app/papers/control-strategies-for-autonomous-vehicles-a-comparative-bensassi-jarou/16330f3f187b532c9d8b2997e33ddec9/"
"Fuzzy Integrated Cell Formation and Production Scheduling Considering Automated Guided Vehicles and Human Factors","The WOA algorithm outperforms other algorithms in computational efficiency and accuracy for cell formation and scheduling in cellular manufacturing systems, considering automated guided vehicles and human factors.","A. Goli, E. B. Tirkolaee, N. S. Aydın",2021,133,"In today's competitive environment, it is essential to design a flexible-responsive manufacturing system with automatic material handling systems. In this article, a fuzzy mixed integer linear programming model is designed for cell formation problems including the scheduling of parts within cells in a cellular manufacturing system (CMS) where several automated guided vehicles (AGVs) are in charge of transferring the exceptional parts. Notably, using these AGVs in CMS can be challenging from the perspective of mathematical modeling due to consideration of AGVs’ collision as well as parts pickup/delivery. This article investigates the role of AGVs and human factors as indispensable components of automation systems in the cell formation and scheduling of parts under fuzzy processing time. The proposed objective function includes minimizing the makespan and intercellular movements of parts. Due to the NP-hardness of the problem, a hybrid genetic algorithm (GA/heuristic) and a whale optimization algorithm (WOA) are developed. The experimental results reveal that our proposed algorithms have a high performance compared to CPLEX and the other two well-known algorithms, i.e., particle swarm optimization and ant colony optimization, in terms of computational efficiency and accuracy. Finally, WOA stands out as the best algorithm to solve the problem.","","IEEE Transactions on Fuzzy Systems","1","10.1109/tfuzz.2021.3053838","https://consensus.app/papers/fuzzy-integrated-cell-formation-and-production-goli-tirkolaee/3e668a56b2ff5d4c934967d47a412dbd/"
"Fuzzy Static Output Feedback Control for Path Following of Autonomous Vehicles With Transient Performance Improvements","The proposed Fuzzy Static Output Feedback Control for Autonomous Vehicles improves transient performance and reduces design conservatism, enabling real-time implementation without expensive sensors.","Anh‐Tu Nguyen, C. Sentouh, Hui Zhang, J. Popieul",2020,99,"This paper provides a new solution for path following control of autonomous ground vehicles. <inline-formula> <tex-math notation=""LaTeX"">$\mathcal {H}_{2}$ </tex-math></inline-formula> control problem is considered to attenuate the effect of the road curvature disturbance. To this end, we formulate a standard model from the road-vehicle dynamics, the <italic>a priori</italic> knowledge on the road curvature, and the path following specifications. This standard model is then represented in a Takagi–Sugeno fuzzy form to deal with the time-varying nature of the vehicle speed. Based on a static output feedback scheme, the proposed method allows avoiding expensive vehicle sensors while keeping the simplest control structure for real-time implementation. The concept of <inline-formula> <tex-math notation=""LaTeX"">$\mathcal {D}-$ </tex-math></inline-formula>stability is exploited using Lyapunov stability arguments to improve the transient behaviors of the closed-loop vehicle system. In particular, the physical upper and lower bounds of the vehicle acceleration are explicitly considered in the design procedure via a parameter-dependent Lyapunov function to reduce drastically the design conservatism. The proposed <inline-formula> <tex-math notation=""LaTeX"">$\mathcal {H}_{2}$ </tex-math></inline-formula> design conditions are expressed in terms of linear matrix inequalities (LMIs) with a single line search parameter. The effectiveness of the new path following control method is clearly demonstrated with both theoretical illustrations and hardware experiments under real-world driving situations.","","IEEE Transactions on Intelligent Transportation Systems","1","10.1109/tits.2019.2924705","https://consensus.app/papers/fuzzy-static-output-feedback-control-for-path-following-of-nguyen-sentouh/9d09e19e491c50d081d0aa4b0900aef8/"
"Steering Control in Electric Power Steering Autonomous Vehicle Using Type-2 Fuzzy Logic Control and PI Control","Type-2 fuzzy logic control combined with PI control provides smoother and safer steering in autonomous vehicles compared to type-1 fuzzy logic control and PI control.","B. Suprapto, Sri Arttini Dwi Prasetyowati, Zainuddin Nawawi",2022,26,"The steering system in autonomous vehicles is an essential issue that must be addressed. Appropriate control will result in a smooth and risk-free steering system. Compared to other types of controls, type-2 fuzzy logic control has the advantage of dealing with uncertain inputs, which are common in autonomous vehicles. This paper proposes a novel method for the steering control of autonomous vehicles based on type-2 fuzzy logic control combined with PI control. The primary control, type-2 fuzzy logic control, has three inputs—distance, navigation, and speed. The fuzzy system’s output is the steering angle value. This was used as input for the secondary control, PI control. This control is in charge of adjusting the motor’s position as a manifestation of the steering angle. The study results applied to the EPS system of autonomous vehicles revealed that type-2 fuzzy logic control and PI control produced better and smoother control than type-1 fuzzy logic control and PI. The slightest disturbance in the type-1 fuzzy logic control showed a significant change in steering, while this did not occur in the type-2 fuzzy logic control. The results indicate that type-2 fuzzy logic control and PI control could be used for autonomous vehicles by maintaining the comfort and safety of the users.","","World Electric Vehicle Journal","2","10.3390/wevj13030053","https://consensus.app/papers/steering-control-in-electric-power-steering-autonomous-suprapto-prasetyowati/e535980b4218579dbcf06bf41478d0e2/"
"Navigational fuzzy logic control of an autonomous vehicle","Fuzzy logic is used in designing an autonomous vehicle controller to adapt to various uncertainties and effectively navigate through obstacles.","N. Hodge",2019,0,"Navigational Fuzzy Logic Control of an Autonomous Vehicle byNeil Eugene Hodge Dr. Mohamed Trabia. E.xamination Committee Chair Professor o f Mechanical Engineering University o f Nevada. Las Vegas The control o f an autonomous passenger vehicle to reach a target amid static and dynamic obstacles is presented. To accommodate various model and environmental uncertainties, fuzzy logic is used in designing the vehicle's controller. The controller evaluates sensor information and outputs signals to change the vehicle's steering and throttle angles. To emulate human behavior, the controller is divided into separate modules. Each module deals with a specific navigational problem such as target steering, target throttle control, cornering throttle control, collision avoidance steering, and collision avoidance throttle control. Several simulation examples are included.","","","","","https://consensus.app/papers/navigational-fuzzy-logic-control-of-an-autonomous-vehicle-hodge/4585619d793c5faf98b508c9c7f07a53/"
"Conditional DQN-Based Motion Planning With Fuzzy Logic for Autonomous Driving","The conditional deep Q-network with fuzzy logic improves autonomous driving performance and stability by using global path information and fuzzy control for directional planning.","Long Chen, Xuemin Hu, Bo Tang, Yu Cheng",2022,116,"Motion planning is one of the most significant part in autonomous driving. Learning-based motion planning methods attract many researchers’ attention due to the abilities of learning from the environment and directly making decisions from the perception. The deep Q-network, as a popular reinforcement learning method, has achieved great progress in autonomous driving, but these methods seldom use the global path information to handle the issue of directional planning such as making a turning at an intersection since the agent usually learns driving strategies only by the designed reward function, which is difficult to adapt to the driving scenarios of urban roads. Moreover, different motion commands such as the steering wheel and accelerator are associated with each other from classic Q-networks, which easily leads to an unstable prediction of the motion commands since they are independently controlled in a practical driving system. In this paper, a conditional deep Q-network for directional planning is proposed and applied in end-to-end autonomous driving, where the global path is used to guide the vehicle to drive from the origination to the destination. To handle the dependency of different motion commands in Q-networks, we take use of the idea of fuzzy control and develop a defuzzification method to improve the stability of predicting the values of different motion commands. We conduct comprehensive experiments in the CARLA simulator and compare our method with the state-of-the-art methods. Experimental results demonstrate the proposed method achieves better learning performance and driving stability performance than other methods.","","IEEE Transactions on Intelligent Transportation Systems","1","10.1109/tits.2020.3025671","https://consensus.app/papers/conditional-dqnbased-motion-planning-with-fuzzy-logic-for-chen-hu/fe13ba86f3d65cf98d127334d9da8bef/"
